country,happiness_rating,GDP_per_capita,social_support_rating,life_expectancy,democratic_quality,delivery_quality,corruption_perceptions,positive_affect,negative_affect
Congo (Kinshasa),4.3484409154999994,6.61242264525,0.774971187125,51.35500001875,-1.7910086661250002,-1.4911319315,0.845642380375,0.584532909,0.26750984625
Costa Rica,7.179355859642858,9.531566824214286,0.9056039325,70.38571439428571,0.8291258858461539,0.47852043469230776,0.7939345537857143,0.8661009497142859,0.2656619485714286
Croatia,5.554704944333333,9.98012741375,0.8093495220833332,68.60500017833333,0.5771415774545455,0.35332217800000004,0.9250636298333333,0.6038065602500001,0.29078055183333334
Cuba,5.417868614,9.67642498,0.9695951340000001,68.44000244,-0.706359327,-0.543394327,,0.646711767,0.276601523
Cyprus,6.091940085166666,10.382888125,0.8011181204166666,72.87500063583333,0.789417125909091,1.0916897981818183,0.8457923580833335,0.7625826199166666,0.32873368775
Czech Republic,6.576421546900001,10.307009508,0.9097924592,68.75400085199999,1.0110653996,0.8799314557999999,0.9078008115999999,0.6945054711,0.23300220360000004
Denmark,7.667000403769231,10.72845253692308,0.9567988653076924,71.14923037076923,1.2699191073333334,2.014817803916667,0.19659256815384618,0.8099145293076924,0.1980278103846154
Djibouti,4.822564959749999,7.870239377000001,0.7413259546666667,54.009999275,-0.48591510225,-0.655093938,0.581540212,0.6653387346666667,0.17763919866666666
Dominican Republic,5.219580343857143,9.4311988695,0.8788135136428572,64.36428533285714,0.11154403753846154,-0.4996752006153846,0.7591238193571429,0.7683430482857142,0.2872143642857143
Ecuador,5.768104962071428,9.201532568285714,0.8314000410714285,67.28571537571429,-0.31773285353846153,-0.8415944805384614,0.7638310577857144,0.8428759149285714,0.3059068982142857
Egypt,4.485472825846154,9.223355440076922,0.7253078956153847,60.633845989230764,-1.1679849675,-0.5471913169166666,0.8271353773333333,0.5750469336153846,0.3509256105384615
El Salvador,5.986990656142856,8.810634817499999,0.7852311475,64.68571444928571,0.02334614523076923,-0.2617389216153846,0.7554334827142856,0.8412235677142855,0.2905137997142857
Estonia,5.569990378153845,10.206028572307693,0.9120982198461539,67.19999988153845,0.8958180496666667,1.2382374704166665,0.6866489053846153,0.6961709306153847,0.19216274407692308
Ethiopia,4.380347371125,7.344170331749999,0.6834744588750001,57.17500019125,-1.404362934,-0.6615517650000001,0.7157710364285715,0.673650160375,0.2503592
Finland,7.5728714466666665,10.609414180833333,0.9479169993333332,71.10333379166667,1.3993730328181817,2.0236851951818187,0.2560396815,0.7767685353333333,0.1858151815
France,6.633716033076923,10.540727246923078,0.9212245712307692,72.79538433384616,0.8003997204999999,1.367691437333333,0.6345644410000001,0.7726961556923077,0.2575669310769231
Gabon,4.435375822888889,9.697899182666667,0.7601793077777779,58.00000042222223,-0.41533201200000003,-0.71461720025,0.827090243777778,0.5937812031111112,0.3545160953333333
Gambia,4.734555085333334,7.3207397463333335,0.6918905376666666,55.0,-0.2332640145,-0.538487822,0.6869310736666666,0.8050385116666666,0.35239272299999996
Georgia,4.221914921642857,8.988837310285714,0.5695002121428572,64.86428615071429,-0.28733450400000005,0.34889943015384617,0.5310798394285714,0.5288030206428571,0.23616163314285712
Germany,6.824362277923077,10.667595496153847,0.9227239810000001,71.28153933153847,1.0888599654999997,1.6901951232499999,0.5811214606923076,0.7693481582307692,0.20176910199999998
Ghana,4.783375501785714,8.1421962125,0.6928516924285715,55.021428516428564,0.2535324003846154,-0.03212738638461538,0.8624895342857143,0.7151181015714287,0.22559846735714292
Greece,5.492066939583334,10.1651234625,0.8105885386666666,71.775000255,0.3506785211818182,0.3193953377272727,0.9026678651666669,0.662724212,0.31218061724999996
Guatemala,6.253190108714286,8.856884615857142,0.8260675285000001,62.97142846214285,-0.49267631307692317,-0.6453146704615385,0.7956078094285716,0.8452588361428571,0.2864326292142857
Guinea,4.112397988666666,7.592735661333334,0.6132478581111112,52.07777786333333,-0.8819785788750001,-1.09401234975,0.76748591,0.6770773926666667,0.35805008133333327
Guyana,5.992826462000001,8.578910828,0.8487651940000001,57.25999832,-0.22879523,-0.424650729,0.8355690840000001,0.7675405740000001,0.29641977
Haiti,3.954193635363637,7.386394717545453,0.6161958519090909,47.04909064545454,-0.7996247410909091,-1.3174094395454543,0.7520326430000001,0.5866977573636365,0.3130265338181818
Honduras,5.392693689928572,8.329637391071428,0.8105395477857141,66.02142878928571,-0.4411444779230769,-0.6963023267692308,0.8364125277142858,0.8259868153571428,0.2633804742142857
Hong Kong S.A.R. of China,5.4624378204,10.810821213333334,0.8369444192,,0.7453431816666666,1.790817976,0.3456056014,0.6950692236999999,0.225904338
Hungary,5.255332946666667,10.1101270525,0.8975959818333333,66.33333333333333,0.6901831951818183,0.5924494619090909,0.9119316985833333,0.6831893573333333,0.2422885198333333
Iceland,7.428166048857142,10.711541175714286,0.9767629164285714,72.84571402428571,1.3486631713333335,1.6070327558333333,0.7089640498571429,0.8719142589999999,0.16143356685714286
India,4.490933775928571,8.527313232500001,0.6060206635,58.135714394285706,-0.3404037195384616,-0.18305240746153847,0.8318865256428571,0.6819781532857142,0.3020170671428572
Indonesia,5.227678060571429,9.143262386285715,0.7936132549999998,60.99285697857142,-0.3399865271538462,-0.3794780998461539,0.9313901152142857,0.8521409077142857,0.26307000100000005
Iran,4.824302846818181,9.777176250090907,0.6422499906363636,64.76363615545455,-1.284598732,-0.8673736632000001,0.7241289234545454,0.6266158602727273,0.4618083372727273
Iraq,4.686356457909091,9.584881695818183,0.7533370146363637,59.09818163636363,-1.647274830090909,-1.3118278765454545,0.8029491793636364,0.5217501609999999,0.5104594581818181
Ireland,7.070290785615384,10.879203646923076,0.9599542297692307,71.66307713384616,1.1700058777500002,1.6089380283333332,0.47414173992307695,0.8346643264615385,0.21355812930769233
Israel,7.21149708676923,10.33187279307692,0.8958836657692306,72.38461597153845,-0.23011879507692304,1.0892178186923078,0.8517513274615385,0.6803690286923078,0.31755033607692307
Italy,6.2259696813846155,10.48250734076923,0.8960532821538462,72.97846163230768,0.7181761364166667,0.43088046958333326,0.909141535923077,0.6819752959230769,0.3211003186923077
Ivory Coast,4.52407780275,8.094772458000001,0.6712009833749999,48.097499847499996,-0.7630502155714286,-0.6693699444285713,0.7659521549999999,0.676940239875,0.33458155575000004
Jamaica,5.698302555000001,9.0095935822,0.8831745862000002,66.25200042600001,0.3030336054,-0.027893209600000003,0.9059509991999999,0.7728813766,0.2607749968
Japan,5.970019046923076,10.523223584615383,0.9023028383076923,74.30615410461539,1.0089740952500001,1.4258079429166666,0.703445773923077,0.7635519733846152,0.18424257061538457
Jordan,5.219204425769231,9.085771560615385,0.8342258195384614,65.55076921846154,-0.6038048168333333,0.20068257041666668,0.7041708830000001,0.6471545208181818,0.30836044927272727
Kazakhstan,5.780306202928572,9.98502349771429,0.8936560195,61.571428570714296,-0.5179887322307692,-0.5095362514615384,0.8073944107142859,0.704407462,0.16250976185714286
Kenya,4.392644388357143,7.8738132885,0.7870766349999998,56.38571466785714,-0.7412392908461539,-0.6013619258461538,0.8655014889285715,0.7560241860000001,0.19538490835714287
Kosovo,5.6247589773076925,9.052428722333334,0.7922115096153847,,-0.29054891390909093,-0.3988129994166667,0.9089925106153848,0.6907508024999999,0.17694918646153848
Kuwait,6.273741765363636,11.22583423909091,0.8734112381999999,65.4727276881818,-0.21352693569999998,0.0747127663,0.512453802,0.744722593,0.2441187448
Kyrgyzstan,5.092765569642856,8.01063486507143,0.8667652946428571,62.164285387142854,-0.7528317983846153,-0.8618524211538463,0.9010203950000003,0.7027184920714288,0.16059396792857145
Laos,4.967926621625,8.471935868125,0.7410896866250001,56.53999900750001,-0.8164344768571429,-0.9533915777142855,0.6198147108571429,0.874502956875,0.261790188
Latvia,5.365480899692307,10.01175748476923,0.8711694937692307,65.2538460953846,0.6396775792499999,0.7626409033333332,0.8662685248461539,0.6118495188461539,0.2261721204615385
Lebanon,4.9423382466153845,9.428022458076923,0.7678726589230768,65.73538383846153,-1.0513033270833334,-0.5687823991666666,0.907012169153846,0.5142101346153847,0.32907225992307687
Lesotho,4.00320023275,7.939814329,0.795100421,47.0850000375,-0.00916509833333333,-0.32322397866666663,0.805589974,0.7517551035000001,0.242255505
Liberia,4.047478834888889,7.044049686888889,0.6835773387777778,53.38666619111111,-0.41490634824999995,-0.9851358903749999,0.8522153032222222,0.6043893628888888,0.3855982306666667
Libya,5.545739015,9.760869026,0.8454379636666668,62.35999934166666,-1.7506183146,-1.7600871562000002,0.69896836575,0.7046574353333334,0.37452389300000005
Lithuania,5.785509654642857,10.128491470214286,0.9207011077142857,65.18571444857143,0.8481001670769229,0.7981290313076921,0.9246923029999999,0.5694734347857143,0.26396766528571425
Luxembourg,7.04723141409091,11.43221517090909,0.9205163391818182,72.24908932545453,1.4768633843,1.8307499646,0.3772377804545455,0.7749230481818181,0.20183598463636362
Macedonia,4.903349081666666,9.406588872416668,0.7950641563333334,66.85999997333333,-0.1762704740909091,-0.011878036181818182,0.8715074708333335,0.5931866915,0.32083653408333335
Madagascar,3.9806349060000006,7.253193855363637,0.6992494300909091,57.26000005545455,-0.45450934849999997,-0.7719728648000002,0.8364034117000001,0.7127333283636365,0.2463077266363637
Malawi,4.054782688666667,6.990936875166667,0.5678949629166667,53.03833293916667,-0.09475893600000002,-0.5320769168181818,0.7762852362499998,0.6809088935,0.2597741371666667
Malaysia,5.795421004166667,10.033814668916666,0.8271752695833333,65.91666666666667,-0.13875291563636363,0.577126671,0.8272241951666666,0.8074039766666666,0.21214180808333336
Maldives,5.197574615,9.518632889,0.913315058,70.59999847,-0.282681525,-0.6035251620000001,,,
Mali,4.249398671615385,7.549398495692308,0.7790131797692307,49.419999928461536,-0.5859753785,-0.665472197,0.7998780149999999,0.7422251700769229,0.22867491430769235
Malta,6.4157943724545445,10.369022752,0.9265017076363636,71.96181626727274,1.1574669719,1.1025827826,0.6675218740000001,0.7018625735454546,0.3499888886363636
Mauritania,4.411453320384615,8.194170071461539,0.782633987923077,55.46307666461538,-0.8302189086666667,-0.8071511933333334,0.7315356913846155,0.739910886923077,0.19766849976923073
Mauritius,5.838646650333334,9.879772663,0.8588742415000001,65.83333333333333,0.8577417134,0.7630444764,0.8384097911666665,0.7768844863333334,0.19944891583333335
Mexico,6.763383351846154,9.744398483923076,0.8304532077692307,67.18769249538461,-0.32533847541666666,-0.15039607791666665,0.7306750829230767,0.8222030400769231,0.22858245084615383
Moldova,5.599390268285715,8.570149012857142,0.8359736928571431,62.47142819,-0.17216319307692304,-0.464980489923077,0.9331926149285715,0.5874932451428572,0.2781469885714286
Mongolia,4.978564858416666,9.209671258916668,0.9262054115833332,61.049999872499995,0.4343149879090909,-0.3850994393636364,0.907865281,0.6592260103333333,0.1801149521666667
Montenegro,5.277609189500001,9.621836662249999,0.8122260520833332,67.63333320583332,0.26092857945454545,0.01483409009090909,0.7803617219166665,0.5809580583333334,0.36446800825
Morocco,5.043947537666667,8.875898997,0.63718247425,64.86666658222222,-0.5249167496249999,-0.17872398912499998,0.8212756184444444,0.6708758100000001,0.290464988
Mozambique,4.683460831625,6.92136847975,0.753098689,49.82750034125001,-0.15951479014285713,-0.6606463791428572,0.735239044,0.61396679275,0.320526421
Myanmar,4.4058794975,8.54238247875,0.752596691,58.205000401250004,-1.1236033267142858,-1.0861009274285716,0.639009050875,0.796587966375,0.2469947615
Namibia,4.6341567040000005,9.1716526032,0.825510621,54.868000032,0.6186450125,0.13843244875,0.8371524572,0.73822608,0.23447586280000002
Nepal,4.689407842714287,7.694244486928572,0.7865974135714285,60.128571645714274,-0.8687930152307692,-0.7622221753076922,0.8534971647142856,0.6314263002142857,0.2693249029285715
Netherlands,7.4633054334999995,10.765932878333333,0.9314959845,71.75,1.2583243847272725,1.8797334650000004,0.4130402330833334,0.8451800893333332,0.20847306775
New Zealand,7.314375290384618,10.439127554615384,0.9529431463076924,72.33846165615385,1.4703774451666665,1.9636136590833333,0.2648666523846153,0.8456361661538462,0.19914930715384618
Nicaragua,5.626681463928572,8.389573914642856,0.8532390850714284,66.02142933357142,-0.3811406399999999,-0.7111747172307692,0.7351045651428573,0.8060842623571428,0.3133077069285714
